response_id,readiness_index,practice_completion_rate,growth_points,assessment_form
relationship_response_0117,48,0.355,8.3,Form B
relationship_response_0118,59.5,0.363,11.6,Form A
relationship_response_0119,50.4,0.324,-6.1,Form B
relationship_response_0120,73.5,0.707,26.9,Form B
relationship_response_0121,43.2,0.361,6.2,Form B
relationship_response_0122,75.1,0.918,39.1,Form A
relationship_response_0123,48.9,0.403,13.5,Form B
relationship_response_0124,3.5,0.208,-22,Form B
relationship_response_0125,62.9,0.835,16.8,Form B
relationship_response_0126,81,0.905,30.5,Form B
relationship_response_0127,34.8,0.34,13,Form C
relationship_response_0128,57.7,0.437,7.2,Form A
relationship_response_0129,49.7,0.399,4.2,Form B
relationship_response_0130,73.1,0.568,19,Form C
relationship_response_0131,79,0.82,39.2,Form A
relationship_response_0132,15.9,0.263,2.4,Form A
relationship_response_0133,77.2,0.631,34.7,Form C
relationship_response_0134,24.5,0.143,13.7,Form A
relationship_response_0135,11.8,0.115,-21.4,Form B
relationship_response_0136,43.5,0.421,3.7,Form C
relationship_response_0137,75.9,0.752,38.7,Form B
relationship_response_0138,58.2,0.777,5.2,Form C
relationship_response_0139,66.4,0.589,31.8,Form B
relationship_response_0140,43.2,0.219,18.2,Form A
relationship_response_0141,58.4,0.759,8.3,Form B
relationship_response_0142,24.8,0.226,4.2,Form A
relationship_response_0143,75,0.856,31.9,Form B
relationship_response_0144,14.3,0.066,-6.4,Form C
relationship_response_0145,71.1,0.642,11.1,Form B
relationship_response_0146,39.4,0.298,2.1,Form C
relationship_response_0147,64.4,0.183,9.6,Form B
relationship_response_0148,30.7,0.052,6.7,Form B
relationship_response_0149,35.8,0.195,8,Form B
relationship_response_0150,44.7,0.251,12.5,Form A
relationship_response_0151,88,0.694,33.7,Form A
relationship_response_0152,83.8,0.897,48.7,Form B
relationship_response_0153,69.8,0.59,24.3,Form C
relationship_response_0154,44.5,0.246,16.9,Form C
relationship_response_0155,59.5,0.643,7.9,Form A
relationship_response_0156,27.8,0.179,1,Form B
relationship_response_0157,76.5,0.703,24.8,Form C
relationship_response_0158,54.3,0.278,8.2,Form A
relationship_response_0159,45.1,0.336,1.6,Form A
relationship_response_0160,75.6,0.3,30,Form B
relationship_response_0161,36.2,0.319,3.2,Form C
relationship_response_0162,67.3,0.472,24.9,Form A
relationship_response_0163,54.2,0.57,15.4,Form A
relationship_response_0164,52.9,0.123,3.9,Form B
relationship_response_0165,70.3,0.468,20.3,Form B
relationship_response_0166,37.7,0.334,1.1,Form B
relationship_response_0167,25.6,0.195,0.3,Form A
relationship_response_0168,61.1,0.327,17.9,Form B
relationship_response_0169,21.4,0.326,5.6,Form B
relationship_response_0170,69,0.617,23.4,Form B
relationship_response_0171,52.8,0.567,14.1,Form A
relationship_response_0172,79.5,0.581,40.9,Form B
relationship_response_0173,60.2,0.322,9.5,Form A
relationship_response_0174,81.1,0.84,36.3,Form A
relationship_response_0175,77.5,0.738,32,Form B
relationship_response_0176,83.4,0.66,18.5,Form A
relationship_response_0177,55.4,0.576,1.4,Form A
relationship_response_0178,79.5,0.742,40,Form C
relationship_response_0179,60.5,0.539,16.8,Form B
relationship_response_0180,54.6,0.371,3.4,Form A
relationship_response_0181,86.6,0.797,37.3,Form B
relationship_response_0182,57.1,0.365,18.1,Form A
relationship_response_0183,40.9,0.188,9.3,Form A
relationship_response_0184,64.5,0.636,12.3,Form C
relationship_response_0185,25.7,0.466,2.3,Form C
relationship_response_0186,57.8,0.219,-2.3,Form A
relationship_response_0187,36.7,0.505,21.1,Form B
relationship_response_0188,64,0.502,6,Form A
relationship_response_0189,23.6,0.236,-2.2,Form B
relationship_response_0190,73.8,0.724,18.4,Form A
relationship_response_0191,25,0.16,0.7,Form B
relationship_response_0192,48.8,0.537,6.7,Form A
relationship_response_0193,41.8,0.368,18.8,Form B
relationship_response_0194,77.1,0.712,33.6,Form A
relationship_response_0195,31.7,0.274,15.1,Form A
relationship_response_0196,79.8,0.761,40,Form B
relationship_response_0197,23.3,0.263,-9.8,Form C
relationship_response_0198,42.4,0.644,10,Form B
relationship_response_0199,59.5,0.723,21.5,Form C
relationship_response_0200,51.7,0.133,-0.9,Form A
relationship_response_0201,38.4,0.288,11.8,Form B
relationship_response_0202,63.7,0.496,9.1,Form B
relationship_response_0203,69,0.815,20.6,Form C
relationship_response_0204,67.1,0.348,22.4,Form C
relationship_response_0205,47.9,0.685,4.5,Form A
relationship_response_0206,42.7,0.467,5,Form B
relationship_response_0207,16.2,0.311,4.1,Form B
relationship_response_0208,51.4,0.36,13.4,Form C
relationship_response_0209,63.3,0.46,11.8,Form C
relationship_response_0210,49.7,0.196,9.5,Form C
relationship_response_0211,25.1,0.379,4.4,Form A
relationship_response_0212,48.4,0.236,-8.4,Form B
relationship_response_0213,59.6,0.695,14.3,Form C
relationship_response_0214,60.9,0.39,2.1,Form A
relationship_response_0215,65.4,0.546,12.4,Form B
relationship_response_0216,47.5,0.513,12.8,Form C
relationship_response_0217,75.5,0.622,39,Form B
relationship_response_0218,21.5,0.195,-8,Form B
relationship_response_0219,60.1,0.487,11.3,Form B
relationship_response_0220,86,0.834,43.9,Form C
relationship_response_0221,60.3,0.294,20.9,Form A
relationship_response_0222,72.1,0.648,25,Form B
relationship_response_0223,80.5,0.68,31.1,Form C
relationship_response_0224,77,0.764,31.2,Form A
relationship_response_0225,90.2,0.755,25.8,Form B
relationship_response_0226,79.3,0.726,13.6,Form A
relationship_response_0227,20.4,0.074,-8.2,Form A
relationship_response_0228,69.2,0.656,32.6,Form A
relationship_response_0229,10,0.242,11,Form C
relationship_response_0230,66.2,0.6,20.4,Form A
relationship_response_0231,51.8,0.454,6.5,Form B
relationship_response_0232,59.2,0.649,7.6,Form C
relationship_response_0233,29.6,0.309,9.4,Form B
relationship_response_0234,47.5,0.304,10.3,Form B
relationship_response_0235,65.9,0.707,29.5,Form C
relationship_response_0236,55.8,0.476,34.6,Form B
relationship_response_0237,63.6,0.601,16.5,Form B
relationship_response_0238,52.6,0.387,12.3,Form B
relationship_response_0239,26.1,0.224,-2.9,Form C
relationship_response_0240,57.4,0.38,8.9,Form C
relationship_response_0241,78.6,0.738,23,Form C
relationship_response_0242,6.1,0.508,-0.2,Form C
relationship_response_0243,69.1,0.541,28.1,Form B
relationship_response_0244,76.2,0.578,18.1,Form A
relationship_response_0245,61.3,0.635,26,Form B
relationship_response_0246,81.1,0.547,22.1,Form B
relationship_response_0247,60.3,0.76,19.5,Form A
relationship_response_0248,65.8,0.609,13.1,Form C
relationship_response_0249,59.2,0.472,10.2,Form A
relationship_response_0250,1.6,0.106,-9.8,Form C
relationship_response_0251,3.9,0.289,-8,Form A
relationship_response_0252,82.9,0.667,38.9,Form B
relationship_response_0253,53.5,0.611,19.6,Form B
relationship_response_0254,70,0.329,12.9,Form C
relationship_response_0255,13.1,0.251,2.6,Form C
relationship_response_0256,65.1,0.486,10.4,Form A
relationship_response_0257,29.6,0.286,7.1,Form B
relationship_response_0258,76.9,0.575,26.8,Form A
relationship_response_0259,57.7,0.451,7.4,Form C
relationship_response_0260,59.3,0.304,16.6,Form C
relationship_response_0261,42.9,0.159,17.7,Form C
relationship_response_0262,23,0.156,-18.7,Form A
relationship_response_0263,52.2,0.68,-4.3,Form B
relationship_response_0264,74,0.523,37,Form A
relationship_response_0265,63.3,0.365,11.3,Form B
relationship_response_0266,52.8,0.115,12.2,Form A
relationship_response_0267,66.2,0.298,26.2,Form B
relationship_response_0268,35.9,0.194,8.2,Form B
relationship_response_0269,37.3,0.216,13.4,Form A
relationship_response_0270,42,0.283,7.6,Form B
relationship_response_0271,14.3,0.452,13.3,Form A
relationship_response_0272,63.5,0.581,10.1,Form B
relationship_response_0273,36.1,0.343,-4.6,Form A
relationship_response_0274,45.4,0.608,10.8,Form C
relationship_response_0275,72.9,0.529,8.9,Form C
relationship_response_0276,50.9,0.38,16.9,Form B
relationship_response_0277,85.1,0.855,40.3,Form A
relationship_response_0278,84.4,0.881,27.8,Form B
relationship_response_0279,35.2,0.594,9.2,Form B
relationship_response_0280,75.5,0.512,29.3,Form B
relationship_response_0281,80.5,0.592,19.8,Form A
relationship_response_0282,86.9,0.668,34.7,Form B
relationship_response_0283,38.4,0.223,8.9,Form B
relationship_response_0284,36.1,0.469,-1.9,Form C
relationship_response_0285,28.5,0.316,13.2,Form B
relationship_response_0286,57.7,0.252,17.8,Form A
relationship_response_0287,14.8,0.073,-4,Form A
relationship_response_0288,94.9,0.775,35,Form C
relationship_response_0289,79.6,0.574,32.6,Form B
relationship_response_0290,60.9,0.176,5.8,Form B
relationship_response_0291,33.2,0.126,0.4,Form A
relationship_response_0292,39.2,0.22,-2.2,Form C
relationship_response_0293,80,0.713,31,Form A
relationship_response_0294,37,0.729,6.5,Form C
relationship_response_0295,68.3,0.412,6.8,Form C
relationship_response_0296,72,0.72,30,Form C
relationship_response_0297,42,0.373,12.6,Form B
relationship_response_0298,56.5,0.343,13.1,Form C
relationship_response_0299,78.6,0.843,16.5,Form A
relationship_response_0300,63.9,0.456,10.7,Form A
relationship_response_0301,14.3,0.081,-4.3,Form A
relationship_response_0302,79.4,0.703,43,Form B
relationship_response_0303,76.9,0.445,30.1,Form C
relationship_response_0304,63.2,0.164,9.5,Form A
relationship_response_0305,94,0.574,43.2,Form A
relationship_response_0306,79.5,0.308,33.8,Form A
relationship_response_0307,63.9,0.541,31.3,Form A
relationship_response_0308,75.8,0.625,28.7,Form C
relationship_response_0309,66.7,0.407,13.9,Form C
relationship_response_0310,39.1,0.243,9.2,Form B
relationship_response_0311,79,0.629,45.3,Form A
relationship_response_0312,26.7,0.388,5.3,Form A
relationship_response_0313,81.7,0.637,29.3,Form A
relationship_response_0314,43.6,0.406,2.2,Form A
relationship_response_0315,25.3,0.156,1.1,Form B
relationship_response_0316,86.6,0.77,37,Form B
relationship_response_0317,68.9,0.521,22.8,Form C
relationship_response_0318,87.3,0.867,46.2,Form A
relationship_response_0319,22,0.137,-5.8,Form B
relationship_response_0320,56.1,0.225,11,Form C
relationship_response_0321,41.8,0.062,8.7,Form A
relationship_response_0322,77.1,0.792,32.1,Form C
relationship_response_0323,39.1,0.476,-7.5,Form B
relationship_response_0324,68.3,0.283,12.2,Form A
relationship_response_0325,68.5,0.597,25.9,Form C
relationship_response_0326,23.2,0.349,0.8,Form A
relationship_response_0327,79.8,0.662,33.7,Form B
relationship_response_0328,85.2,0.496,46.3,Form A
relationship_response_0329,37.9,0.224,3.7,Form A
relationship_response_0330,27.5,0.072,-12.6,Form B
relationship_response_0331,58,0.593,17.6,Form B
relationship_response_0332,50.5,0.55,8.8,Form B
relationship_response_0333,51.9,0.467,6.8,Form A
relationship_response_0334,17.9,0.222,11.4,Form A
relationship_response_0335,69.4,0.355,25.3,Form B
relationship_response_0336,52.7,0.652,5.1,Form C
relationship_response_0337,90.1,0.769,37.1,Form C
relationship_response_0338,64.6,0.502,27.8,Form C
relationship_response_0339,78.7,0.765,16.2,Form B
relationship_response_0340,31.2,0.303,11,Form B
relationship_response_0341,71.6,0.695,22.1,Form B
relationship_response_0342,68.6,0.502,19.2,Form A
relationship_response_0343,70.7,0.688,14.5,Form A
relationship_response_0344,83,0.727,30.1,Form A
relationship_response_0345,54.6,0.326,2.6,Form C
relationship_response_0346,48.7,0.284,-0.3,Form A
relationship_response_0347,72.1,0.752,27.4,Form C
relationship_response_0348,50.5,0.385,15.7,Form A
relationship_response_0349,64.7,0.482,11,Form A
relationship_response_0350,58.2,0.661,15.5,Form C
relationship_response_0351,70.1,0.311,15.4,Form B
relationship_response_0352,76,0.92,32.4,Form C
relationship_response_0353,70.1,0.801,29.6,Form B
relationship_response_0354,33,0.202,10.1,Form A
relationship_response_0355,88,0.951,31.6,Form B
relationship_response_0356,81.4,0.529,28.1,Form B
relationship_response_0357,79.3,0.639,11.3,Form A
relationship_response_0358,87.5,0.748,44.5,Form C
relationship_response_0359,40.3,0.369,-5.1,Form C
relationship_response_0360,78.4,0.723,17.6,Form A
relationship_response_0361,20.9,0.05,1.1,Form B
relationship_response_0362,51.6,0.363,11.7,Form B
relationship_response_0363,18.8,0.207,13.9,Form A
relationship_response_0364,50.7,0.537,-13.3,Form B
relationship_response_0365,62.8,0.567,21.9,Form B
relationship_response_0366,46,0.202,-3.1,Form A
relationship_response_0367,73.8,0.476,17.3,Form A
relationship_response_0368,76.1,0.663,24.7,Form C
relationship_response_0369,82.2,0.721,23.6,Form B
relationship_response_0370,83.3,0.413,28.5,Form C
relationship_response_0371,46.3,0.528,14.3,Form B
relationship_response_0372,86.1,0.398,33,Form B
relationship_response_0373,91.6,0.835,52,Form A
relationship_response_0374,30.9,0.106,2.5,Form B
relationship_response_0375,72.5,0.777,32.5,Form B
relationship_response_0376,86.8,0.887,42.7,Form C
relationship_response_0377,10.9,0.17,-9.8,Form B
relationship_response_0378,82.3,0.321,41.5,Form C
relationship_response_0379,57.1,0.477,16.3,Form A
relationship_response_0380,38.4,0.242,-5.8,Form C
relationship_response_0381,79.4,0.419,25.7,Form A
relationship_response_0382,56.1,0.493,-2,Form B
relationship_response_0383,61.6,0.706,17.6,Form C
relationship_response_0384,73.2,0.553,40.3,Form B
relationship_response_0385,26.8,0.177,-4.9,Form B
relationship_response_0386,51.5,0.602,11.4,Form B
relationship_response_0387,35.8,0.584,6.1,Form B
relationship_response_0388,53.4,0.576,17,Form A
relationship_response_0389,19.1,0.341,5.1,Form C
relationship_response_0390,13.1,0.232,-13.8,Form B
relationship_response_0391,66.6,0.333,17.5,Form C
relationship_response_0392,8.8,0.085,8,Form A
relationship_response_0393,65,0.573,15.1,Form B
relationship_response_0394,77.5,0.793,44.4,Form C
relationship_response_0395,69.7,0.723,20.4,Form A
relationship_response_0396,23.5,0.438,-3,Form B
relationship_response_0397,54.5,0.404,-3.7,Form B
relationship_response_0398,72,0.865,15.4,Form B
relationship_response_0399,12.5,0.031,-17,Form B
relationship_response_0400,19,0.309,-5.3,Form A
relationship_response_0401,74.6,0.917,34.2,Form A
relationship_response_0402,69.7,0.372,18.8,Form B
relationship_response_0403,27.1,0.226,8.9,Form A
relationship_response_0404,70.1,0.463,17.8,Form B
relationship_response_0405,58.8,0.276,-3.7,Form C
relationship_response_0406,34.2,0.352,4.1,Form B
relationship_response_0407,50.2,0.6,8.3,Form C
relationship_response_0408,86.7,0.812,29.2,Form C
relationship_response_0409,79.5,0.708,37.8,Form C
relationship_response_0410,47.9,0.365,-8.3,Form C
relationship_response_0411,70.5,0.827,18,Form C
relationship_response_0412,68.3,0.744,17.6,Form C
relationship_response_0413,97.5,0.704,50.7,Form B
relationship_response_0414,9.9,0.155,-5,Form A
relationship_response_0415,26.9,0.111,-6.2,Form A
relationship_response_0416,35.5,0.355,-3.9,Form C
relationship_response_0417,36.5,0.223,0.9,Form B
relationship_response_0418,20.9,0.286,8.9,Form A
relationship_response_0419,52.8,0.224,9.7,Form A
relationship_response_0420,50.3,0.224,-0.9,Form B
relationship_response_0421,88.9,0.559,52,Form B
relationship_response_0422,78.7,0.781,21.4,Form B
relationship_response_0423,92.1,0.879,52,Form A
relationship_response_0424,39.5,0.295,8.9,Form C
relationship_response_0425,79.3,0.529,31.1,Form B
relationship_response_0426,46.6,0.55,0.8,Form C
relationship_response_0427,80.4,0.403,43,Form C
relationship_response_0428,41,0.787,4.4,Form C
relationship_response_0429,50.3,0.819,0.6,Form B
relationship_response_0430,89.7,0.716,41,Form C
relationship_response_0431,37.1,0.543,-1.9,Form B
relationship_response_0432,48.5,0.361,13.7,Form A
relationship_response_0433,60.2,0.464,20.4,Form B
relationship_response_0434,22.1,0.363,-21.1,Form A
relationship_response_0435,80.5,0.524,37.1,Form B
relationship_response_0436,12.3,0.145,-7.7,Form B
relationship_response_0437,2.5,0.051,-8.1,Form C
relationship_response_0438,72.7,0.515,21.1,Form A
relationship_response_0439,84.8,0.66,17.7,Form A
relationship_response_0440,44.1,0.491,-1.2,Form B
relationship_response_0441,48.8,0.372,11.4,Form C
relationship_response_0442,79.8,0.426,13.1,Form C
relationship_response_0443,75.1,0.666,35.6,Form B
relationship_response_0444,80,0.437,19.5,Form C
relationship_response_0445,40.2,0.433,11.6,Form C
relationship_response_0446,49.2,0.266,28.4,Form C
relationship_response_0447,70.1,0.573,29.6,Form B
relationship_response_0448,23.6,0.221,11.2,Form B
relationship_response_0449,17.5,0.139,-13.8,Form A
relationship_response_0450,61.8,0.767,2.1,Form C
relationship_response_0451,59.3,0.677,17.1,Form B
relationship_response_0452,49.8,0.509,1.8,Form A
relationship_response_0453,52.7,0.583,13.2,Form C
relationship_response_0454,38,0.426,8.4,Form A
relationship_response_0455,64.3,0.673,16.4,Form A
relationship_response_0456,75.8,0.71,36.4,Form B
relationship_response_0457,67.3,0.783,26.6,Form C
relationship_response_0458,32.3,0.127,6.4,Form A
relationship_response_0459,24.3,0.255,1.9,Form A
relationship_response_0460,74.7,0.81,19.5,Form A
relationship_response_0461,31.9,0.6,21.1,Form A
relationship_response_0462,77.4,0.418,32,Form C
relationship_response_0463,13.5,0.212,-3.4,Form B
relationship_response_0464,82.6,0.142,37.1,Form C
relationship_response_0465,63.6,0.504,1.4,Form C
relationship_response_0466,81.9,0.865,35.8,Form B
relationship_response_0467,19.2,0.099,0.5,Form A
relationship_response_0468,18,0.191,18,Form B
relationship_response_0469,39.5,0.125,-1.7,Form B
relationship_response_0470,67.9,0.593,19.6,Form A
relationship_response_0471,21.4,0.228,0.1,Form A
relationship_response_0472,12.9,0.261,0.4,Form C
relationship_response_0473,58.1,0.515,16.6,Form A
relationship_response_0474,47.5,0.224,8.7,Form C
relationship_response_0475,61.8,0.459,22.4,Form C
relationship_response_0476,35.2,0.413,3.5,Form C
relationship_response_0477,78.2,0.824,29,Form B
relationship_response_0478,77.3,0.931,29.3,Form B
relationship_response_0479,53.8,0.227,14.2,Form C
relationship_response_0480,64.7,0.598,10.4,Form B
relationship_response_0481,76.1,0.587,17.9,Form B
relationship_response_0482,10.2,0.048,3.9,Form A
relationship_response_0483,62.2,0.699,14.2,Form C
relationship_response_0484,87.1,0.664,46.7,Form B
relationship_response_0485,18.8,0.108,-1.7,Form C
relationship_response_0486,25.1,0.17,-2.3,Form A
relationship_response_0487,59.6,0.129,25.9,Form A
relationship_response_0488,48.2,0.3,4.4,Form A
relationship_response_0489,60.8,0.333,25.6,Form A
relationship_response_0490,74.8,0.395,28.6,Form C
relationship_response_0491,73.8,0.718,52,Form B
relationship_response_0492,16.1,0.026,-2.9,Form A
relationship_response_0493,54.3,0.37,14.6,Form A
relationship_response_0494,61.6,0.383,4.6,Form C
relationship_response_0495,68.5,0.701,-0,Form B
relationship_response_0496,51.7,0.535,3.7,Form B
relationship_response_0497,64.5,0.476,23.1,Form B
relationship_response_0498,64.1,0.601,19.8,Form B
relationship_response_0499,55.1,0.256,9.6,Form A
relationship_response_0500,29.5,0.53,7,Form C
relationship_response_0501,31.8,0.206,2.5,Form C
relationship_response_0502,54.7,0.34,2.4,Form B
relationship_response_0503,70.5,0.524,20.2,Form B
relationship_response_0504,5,0.116,-6.5,Form C
relationship_response_0505,28.5,0.273,24.9,Form B
relationship_response_0506,74.9,0.792,30.2,Form C
relationship_response_0507,53.3,0.269,5.6,Form A
relationship_response_0508,19.4,0.243,12.4,Form A
relationship_response_0509,60.4,0.784,6.4,Form C
relationship_response_0510,60.7,0.795,18.8,Form A
relationship_response_0511,21.6,0.228,22.1,Form A
relationship_response_0512,61.7,0.693,18.5,Form B
relationship_response_0513,64.9,0.225,18.2,Form A
relationship_response_0514,44,0.129,-0.6,Form C
relationship_response_0515,49.3,0.298,17.8,Form C
relationship_response_0516,22.6,0.486,2.5,Form B
relationship_response_0517,76.9,0.678,25.6,Form C
relationship_response_0518,59.7,0.737,15.4,Form A
relationship_response_0519,55.3,0.501,1.7,Form A
relationship_response_0520,77,0.644,41.2,Form C
relationship_response_0521,22.4,0.488,7.5,Form C
relationship_response_0522,23.6,0.428,2.3,Form B
relationship_response_0523,80.8,0.804,35.9,Form A
relationship_response_0524,60.5,0.408,6.8,Form A
relationship_response_0525,44.4,0.483,5.4,Form B
relationship_response_0526,81.9,0.764,18.1,Form C
relationship_response_0527,74.2,0.581,30.2,Form A
relationship_response_0528,49.9,0.478,18.9,Form A
relationship_response_0529,22.7,0.107,-4.3,Form A
relationship_response_0530,73.6,0.715,31.8,Form C
relationship_response_0531,84.9,0.807,39.2,Form A
relationship_response_0532,18.3,0.162,3.9,Form A
relationship_response_0533,75.1,0.734,26.5,Form A
relationship_response_0534,65.4,0.779,24.2,Form A
relationship_response_0535,79.9,0.677,38,Form C
relationship_response_0536,42.8,0.222,-13.6,Form C
relationship_response_0537,70.8,0.787,21.7,Form B
relationship_response_0538,66.3,0.307,5.6,Form B
relationship_response_0539,7,0.082,4.2,Form A
relationship_response_0540,26.1,0.406,-2.2,Form C
relationship_response_0541,59.5,0.329,13.1,Form A
relationship_response_0542,40.6,0.715,-5,Form C
relationship_response_0543,13.2,0.115,-5,Form B
relationship_response_0544,52.9,0.437,12,Form A
relationship_response_0545,61.2,0.441,19,Form A
relationship_response_0546,66.5,0.358,34,Form A
relationship_response_0547,80.7,0.824,35.7,Form C
relationship_response_0548,87.8,0.736,25.8,Form A
relationship_response_0549,70.3,0.594,21.5,Form C
relationship_response_0550,51.9,0.723,16.4,Form A
relationship_response_0551,17.8,0.304,-4.3,Form A
relationship_response_0552,70.7,0.359,14.4,Form A
relationship_response_0553,7.1,0.136,-15.2,Form A
relationship_response_0554,86.4,0.693,14.3,Form C
relationship_response_0555,15.7,0.105,-18.4,Form C
relationship_response_0556,16.6,0.248,1.1,Form B
relationship_response_0557,63.7,0.447,13.7,Form A
relationship_response_0558,14.9,0.124,-8.2,Form B
relationship_response_0559,50.3,0.47,21.6,Form A
relationship_response_0560,32.7,0.255,-4.5,Form C
relationship_response_0561,27.8,0.166,6.9,Form C
relationship_response_0562,68.1,0.391,31.2,Form B
