case_id,task_family,predicted_mastery_probability,true_mastery_probability,observed_mastery
calibration_case_0252,Multi-step modeling,0.522,0.429,0
calibration_case_0253,Conceptual explanation,0.8464,0.7779,1
calibration_case_0254,Multi-step modeling,0.7028,0.5898,1
calibration_case_0255,Multi-step modeling,0.6101,0.504,0
calibration_case_0256,Procedural fluency,0.6681,0.6196,1
calibration_case_0257,Conceptual explanation,0.364,0.3432,0
calibration_case_0258,Procedural fluency,0.7668,0.7109,1
calibration_case_0259,Conceptual explanation,0.7828,0.7103,1
calibration_case_0260,Procedural fluency,0.8373,0.7818,0
calibration_case_0261,Conceptual explanation,0.5578,0.5038,0
calibration_case_0262,Conceptual explanation,0.6585,0.5918,1
calibration_case_0263,Procedural fluency,0.9221,0.8782,1
calibration_case_0264,Procedural fluency,0.8418,0.7865,0
calibration_case_0265,Multi-step modeling,0.8469,0.7459,1
calibration_case_0266,Conceptual explanation,0.5906,0.5319,1
calibration_case_0267,Conceptual explanation,0.777,0.7044,1
calibration_case_0268,Procedural fluency,0.1468,0.1711,1
calibration_case_0269,Multi-step modeling,0.6239,0.5163,1
calibration_case_0270,Conceptual explanation,0.3832,0.359,0
calibration_case_0271,Multi-step modeling,0.7464,0.6334,1
calibration_case_0272,Procedural fluency,0.6161,0.5738,0
calibration_case_0273,Procedural fluency,0.5495,0.5167,0
calibration_case_0274,Conceptual explanation,0.1847,0.1936,0
calibration_case_0275,Multi-step modeling,0.3964,0.3289,0
calibration_case_0276,Procedural fluency,0.4237,0.4114,0
calibration_case_0277,Multi-step modeling,0.8455,0.7441,0
calibration_case_0278,Conceptual explanation,0.228,0.2307,0
calibration_case_0279,Multi-step modeling,0.4259,0.3519,0
calibration_case_0280,Multi-step modeling,0.9109,0.831,1
calibration_case_0281,Conceptual explanation,0.6003,0.5403,1
calibration_case_0282,Conceptual explanation,0.4362,0.4024,1
calibration_case_0283,Conceptual explanation,0.1365,0.1507,0
calibration_case_0284,Multi-step modeling,0.346,0.2901,0
calibration_case_0285,Procedural fluency,0.2674,0.2796,0
calibration_case_0286,Conceptual explanation,0.556,0.5022,1
calibration_case_0287,Conceptual explanation,0.8002,0.7282,1
calibration_case_0288,Conceptual explanation,0.5592,0.505,1
calibration_case_0289,Conceptual explanation,0.8076,0.7359,1
calibration_case_0290,Multi-step modeling,0.3706,0.309,1
calibration_case_0291,Conceptual explanation,0.2311,0.2333,1
calibration_case_0292,Conceptual explanation,0.528,0.4786,1
calibration_case_0293,Procedural fluency,0.656,0.6088,0
calibration_case_0294,Conceptual explanation,0.1263,0.1413,0
calibration_case_0295,Procedural fluency,0.1702,0.1929,0
calibration_case_0296,Multi-step modeling,0.8009,0.692,0
calibration_case_0297,Multi-step modeling,0.2006,0.1793,1
calibration_case_0298,Procedural fluency,0.5276,0.4982,0
calibration_case_0299,Conceptual explanation,0.3167,0.3045,0
calibration_case_0300,Conceptual explanation,0.465,0.4261,0
calibration_case_0301,Procedural fluency,0.9066,0.8593,1
calibration_case_0302,Conceptual explanation,0.5206,0.4723,0
calibration_case_0303,Conceptual explanation,0.0291,0.042,0
calibration_case_0304,Conceptual explanation,0.4463,0.4107,1
calibration_case_0305,Procedural fluency,0.936,0.896,1
calibration_case_0306,Multi-step modeling,0.0784,0.0809,0
calibration_case_0307,Procedural fluency,0.4065,0.3971,1
calibration_case_0308,Multi-step modeling,0.8171,0.7104,1
calibration_case_0309,Procedural fluency,0.6998,0.6482,1
calibration_case_0310,Multi-step modeling,0.4939,0.406,0
calibration_case_0311,Multi-step modeling,0.579,0.4769,0
calibration_case_0312,Procedural fluency,0.3909,0.3841,0
calibration_case_0313,Procedural fluency,0.4532,0.4359,1
calibration_case_0314,Procedural fluency,0.7612,0.7055,1
calibration_case_0315,Procedural fluency,0.6343,0.5897,0
calibration_case_0316,Multi-step modeling,0.4213,0.3483,1
calibration_case_0317,Procedural fluency,0.8644,0.8109,1
calibration_case_0318,Procedural fluency,0.8916,0.8416,1
calibration_case_0319,Conceptual explanation,0.2407,0.2414,0
calibration_case_0320,Multi-step modeling,0.4352,0.3591,1
calibration_case_0321,Multi-step modeling,0.3745,0.312,0
calibration_case_0322,Multi-step modeling,0.5903,0.4867,0
calibration_case_0323,Procedural fluency,0.7369,0.6825,1
calibration_case_0324,Conceptual explanation,0.6784,0.6099,1
calibration_case_0325,Procedural fluency,0.4248,0.4123,0
calibration_case_0326,Conceptual explanation,0.695,0.6252,0
calibration_case_0327,Conceptual explanation,0.6617,0.5947,1
calibration_case_0328,Multi-step modeling,0.6568,0.5462,1
calibration_case_0329,Conceptual explanation,0.3838,0.3595,1
calibration_case_0330,Procedural fluency,0.1773,0.1995,0
calibration_case_0331,Procedural fluency,0.8672,0.814,1
calibration_case_0332,Multi-step modeling,0.3959,0.3285,1
calibration_case_0333,Conceptual explanation,0.5233,0.4746,1
calibration_case_0334,Multi-step modeling,0.1062,0.1044,0
calibration_case_0335,Conceptual explanation,0.6871,0.6179,1
calibration_case_0336,Procedural fluency,0.7472,0.6922,1
calibration_case_0337,Procedural fluency,0.561,0.5265,1
calibration_case_0338,Procedural fluency,0.4206,0.4088,0
calibration_case_0339,Procedural fluency,0.7982,0.7417,1
calibration_case_0340,Procedural fluency,0.7465,0.6915,0
calibration_case_0341,Conceptual explanation,0.2029,0.2092,0
calibration_case_0342,Conceptual explanation,0.204,0.2102,0
calibration_case_0343,Procedural fluency,0.759,0.7035,1
calibration_case_0344,Multi-step modeling,0.9384,0.873,0
calibration_case_0345,Conceptual explanation,0.8864,0.8243,1
calibration_case_0346,Conceptual explanation,0.5779,0.521,0
calibration_case_0347,Conceptual explanation,0.6418,0.5768,1
calibration_case_0348,Procedural fluency,0.738,0.6835,1
calibration_case_0349,Procedural fluency,0.9489,0.9132,1
calibration_case_0350,Conceptual explanation,0.2356,0.2371,0
calibration_case_0351,Multi-step modeling,0.4502,0.371,1
calibration_case_0352,Procedural fluency,0.7377,0.6832,1
calibration_case_0353,Multi-step modeling,0.5151,0.4233,1
calibration_case_0354,Multi-step modeling,0.1009,0.1,0
calibration_case_0355,Multi-step modeling,0.5254,0.4318,0
calibration_case_0356,Conceptual explanation,0.7134,0.6425,1
calibration_case_0357,Procedural fluency,0.7932,0.7368,1
calibration_case_0358,Procedural fluency,0.8078,0.7514,1
calibration_case_0359,Multi-step modeling,0.32,0.2703,1
calibration_case_0360,Conceptual explanation,0.079,0.096,0
calibration_case_0361,Procedural fluency,0.8079,0.7515,1
calibration_case_0362,Procedural fluency,0.603,0.5624,0
calibration_case_0363,Conceptual explanation,0.5979,0.5382,1
calibration_case_0364,Multi-step modeling,0.2785,0.2388,0
calibration_case_0365,Conceptual explanation,0.7908,0.7185,1
calibration_case_0366,Conceptual explanation,0.5854,0.5274,1
calibration_case_0367,Multi-step modeling,0.1349,0.1277,0
calibration_case_0368,Conceptual explanation,0.4212,0.3901,0
calibration_case_0369,Multi-step modeling,0.7083,0.5951,1
calibration_case_0370,Procedural fluency,0.6509,0.6043,0
calibration_case_0371,Procedural fluency,0.6093,0.5679,1
calibration_case_0372,Multi-step modeling,0.4759,0.3915,1
calibration_case_0373,Multi-step modeling,0.2054,0.1829,0
calibration_case_0374,Conceptual explanation,0.5242,0.4753,1
calibration_case_0375,Procedural fluency,0.512,0.485,0
calibration_case_0376,Procedural fluency,0.7935,0.7371,1
calibration_case_0377,Procedural fluency,0.7732,0.7171,1
calibration_case_0378,Procedural fluency,0.6016,0.5613,1
calibration_case_0379,Procedural fluency,0.4165,0.4054,1
calibration_case_0380,Conceptual explanation,0.5405,0.4891,1
calibration_case_0381,Multi-step modeling,0.1484,0.1385,0
calibration_case_0382,Procedural fluency,0.9475,0.9113,0
calibration_case_0383,Procedural fluency,0.6488,0.6024,0
calibration_case_0384,Procedural fluency,0.6762,0.6268,1
calibration_case_0385,Procedural fluency,0.7863,0.73,0
calibration_case_0386,Conceptual explanation,0.7023,0.6321,1
calibration_case_0387,Procedural fluency,0.9114,0.8651,1
calibration_case_0388,Conceptual explanation,0.7745,0.7019,0
calibration_case_0389,Procedural fluency,0.2349,0.2513,0
calibration_case_0390,Procedural fluency,0.625,0.5815,0
calibration_case_0391,Procedural fluency,0.3733,0.3693,1
calibration_case_0392,Procedural fluency,0.6155,0.5733,1
calibration_case_0393,Multi-step modeling,0.5949,0.4907,0
calibration_case_0394,Conceptual explanation,0.2502,0.2494,0
calibration_case_0395,Procedural fluency,0.2924,0.301,0
calibration_case_0396,Conceptual explanation,0.7884,0.716,1
calibration_case_0397,Multi-step modeling,0.4383,0.3616,0
calibration_case_0398,Conceptual explanation,0.6362,0.5719,1
calibration_case_0399,Procedural fluency,0.47,0.45,1
calibration_case_0400,Conceptual explanation,0.6497,0.5839,0
calibration_case_0401,Procedural fluency,0.8297,0.7738,1
calibration_case_0402,Conceptual explanation,0.7255,0.654,1
calibration_case_0403,Procedural fluency,0.5662,0.5309,1
calibration_case_0404,Procedural fluency,0.4803,0.4586,0
calibration_case_0405,Conceptual explanation,0.4517,0.4151,1
calibration_case_0406,Conceptual explanation,0.749,0.6766,0
calibration_case_0407,Conceptual explanation,0.6726,0.6047,1
calibration_case_0408,Procedural fluency,0.4274,0.4144,1
calibration_case_0409,Procedural fluency,0.8427,0.7874,1
calibration_case_0410,Multi-step modeling,0.6408,0.5315,0
calibration_case_0411,Procedural fluency,0.2201,0.2382,0
calibration_case_0412,Procedural fluency,0.7808,0.7246,1
calibration_case_0413,Conceptual explanation,0.2357,0.2372,0
calibration_case_0414,Conceptual explanation,0.5488,0.4961,0
calibration_case_0415,Multi-step modeling,0.3432,0.2879,0
calibration_case_0416,Procedural fluency,0.9712,0.9456,1
calibration_case_0417,Procedural fluency,0.8285,0.7726,1
calibration_case_0418,Conceptual explanation,0.8797,0.8162,1
calibration_case_0419,Procedural fluency,0.3408,0.3421,0
calibration_case_0420,Conceptual explanation,0.3525,0.3338,0
calibration_case_0421,Multi-step modeling,0.3806,0.3167,0
calibration_case_0422,Multi-step modeling,0.6877,0.5752,0
calibration_case_0423,Conceptual explanation,0.081,0.0979,0
calibration_case_0424,Procedural fluency,0.3845,0.3787,0
calibration_case_0425,Conceptual explanation,0.7597,0.6871,0
calibration_case_0426,Conceptual explanation,0.3304,0.3158,0
calibration_case_0427,Conceptual explanation,0.3859,0.3612,1
calibration_case_0428,Procedural fluency,0.1775,0.1998,0
calibration_case_0429,Conceptual explanation,0.8547,0.7872,1
calibration_case_0430,Procedural fluency,0.7155,0.6626,1
calibration_case_0431,Conceptual explanation,0.6493,0.5836,1
calibration_case_0432,Procedural fluency,0.5159,0.4884,1
calibration_case_0433,Procedural fluency,0.587,0.5487,1
calibration_case_0434,Conceptual explanation,0.465,0.4261,1
calibration_case_0435,Conceptual explanation,0.0788,0.0957,0
calibration_case_0436,Multi-step modeling,0.2305,0.2022,0
calibration_case_0437,Procedural fluency,0.8381,0.7826,1
calibration_case_0438,Procedural fluency,0.2989,0.3066,0
calibration_case_0439,Conceptual explanation,0.3988,0.3718,1
calibration_case_0440,Multi-step modeling,0.3927,0.326,1
calibration_case_0441,Multi-step modeling,0.1253,0.12,0
calibration_case_0442,Procedural fluency,0.8502,0.7955,1
calibration_case_0443,Multi-step modeling,0.2742,0.2354,1
calibration_case_0444,Multi-step modeling,0.4145,0.3429,0
calibration_case_0445,Multi-step modeling,0.0935,0.0938,0
calibration_case_0446,Procedural fluency,0.1519,0.1759,0
calibration_case_0447,Multi-step modeling,0.1016,0.1006,0
calibration_case_0448,Conceptual explanation,0.6401,0.5754,1
calibration_case_0449,Multi-step modeling,0.4262,0.3521,0
calibration_case_0450,Multi-step modeling,0.1788,0.1624,0
calibration_case_0451,Procedural fluency,0.4174,0.4061,0
calibration_case_0452,Procedural fluency,0.4639,0.4449,1
calibration_case_0453,Procedural fluency,0.7991,0.7427,0
calibration_case_0454,Procedural fluency,0.8799,0.8282,1
calibration_case_0455,Procedural fluency,0.8762,0.824,0
calibration_case_0456,Procedural fluency,0.072,0.0956,0
calibration_case_0457,Conceptual explanation,0.4882,0.4453,1
calibration_case_0458,Procedural fluency,0.3717,0.368,1
calibration_case_0459,Multi-step modeling,0.3684,0.3073,1
calibration_case_0460,Conceptual explanation,0.5428,0.491,1
calibration_case_0461,Procedural fluency,0.495,0.4708,1
calibration_case_0462,Procedural fluency,0.8298,0.774,0
calibration_case_0463,Procedural fluency,0.8682,0.8152,1
calibration_case_0464,Procedural fluency,0.8827,0.8314,1
calibration_case_0465,Multi-step modeling,0.6263,0.5185,0
calibration_case_0466,Conceptual explanation,0.406,0.3776,1
calibration_case_0467,Conceptual explanation,0.3987,0.3717,0
calibration_case_0468,Conceptual explanation,0.1681,0.179,1
calibration_case_0469,Procedural fluency,0.3256,0.3293,1
calibration_case_0470,Procedural fluency,0.6062,0.5652,1
calibration_case_0471,Procedural fluency,0.5554,0.5217,1
calibration_case_0472,Procedural fluency,0.6329,0.5885,0
calibration_case_0473,Procedural fluency,0.5553,0.5217,0
calibration_case_0474,Procedural fluency,0.099,0.124,0
