response_id,support_model,assessment_window,score_percent,completion_time_minutes
raincloud_response_001_064,Baseline review,midcycle,85,14.6
raincloud_response_001_065,Baseline review,diagnostic,67.3,48.5
raincloud_response_001_066,Baseline review,diagnostic,73,37
raincloud_response_001_067,Baseline review,diagnostic,49,33.1
raincloud_response_001_068,Baseline review,midcycle,71.1,25.9
raincloud_response_001_069,Baseline review,midcycle,62.5,30
raincloud_response_001_070,Baseline review,midcycle,80.8,21.6
raincloud_response_001_071,Baseline review,diagnostic,62.4,39.1
raincloud_response_001_072,Baseline review,diagnostic,77.1,39.5
raincloud_response_001_073,Baseline review,postcycle,46.1,25.9
raincloud_response_001_074,Baseline review,diagnostic,82.4,31.9
raincloud_response_001_075,Baseline review,postcycle,65.3,33.5
raincloud_response_001_076,Baseline review,diagnostic,26.3,36.7
raincloud_response_001_077,Baseline review,midcycle,40,55.9
raincloud_response_001_078,Baseline review,midcycle,69.6,36.2
raincloud_response_001_079,Baseline review,midcycle,22.2,24.4
raincloud_response_001_080,Baseline review,postcycle,40.7,46.6
raincloud_response_001_081,Baseline review,midcycle,39.7,44.4
raincloud_response_001_082,Baseline review,diagnostic,57.3,31.8
raincloud_response_001_083,Baseline review,postcycle,57.7,33.7
raincloud_response_001_084,Baseline review,postcycle,30.1,28.1
raincloud_response_001_085,Baseline review,diagnostic,82,39.8
raincloud_response_001_086,Baseline review,midcycle,52.4,39.9
raincloud_response_001_087,Baseline review,diagnostic,51.1,28.5
raincloud_response_001_088,Baseline review,postcycle,78.8,26.8
raincloud_response_001_089,Baseline review,diagnostic,65.9,30.1
raincloud_response_001_090,Baseline review,midcycle,44.1,37.5
raincloud_response_001_091,Baseline review,diagnostic,71.2,48.9
raincloud_response_001_092,Baseline review,diagnostic,60,38.1
raincloud_response_001_093,Baseline review,postcycle,42.9,30
raincloud_response_001_094,Baseline review,postcycle,78.4,34.6
raincloud_response_001_095,Baseline review,diagnostic,59.3,26.9
raincloud_response_001_096,Baseline review,postcycle,55.5,29.3
raincloud_response_001_097,Baseline review,midcycle,30.8,33.6
raincloud_response_001_098,Baseline review,diagnostic,81.3,34.3
raincloud_response_001_099,Baseline review,postcycle,57.9,26.3
raincloud_response_001_100,Baseline review,diagnostic,83.3,32.1
raincloud_response_001_101,Baseline review,diagnostic,79.6,30.5
raincloud_response_001_102,Baseline review,midcycle,77.8,25.9
raincloud_response_001_103,Baseline review,midcycle,67.6,33.2
raincloud_response_001_104,Baseline review,postcycle,58.7,40.1
raincloud_response_001_105,Baseline review,postcycle,45.3,36.7
raincloud_response_001_106,Baseline review,diagnostic,69.4,34.6
raincloud_response_001_107,Baseline review,postcycle,78.3,21.7
raincloud_response_001_108,Baseline review,postcycle,72.3,40.8
raincloud_response_001_109,Baseline review,postcycle,33.2,38.4
raincloud_response_001_110,Baseline review,midcycle,63.2,30.7
raincloud_response_001_111,Baseline review,diagnostic,48.5,33.4
raincloud_response_001_112,Baseline review,diagnostic,39.5,36
raincloud_response_001_113,Baseline review,midcycle,66.6,27.7
raincloud_response_001_114,Baseline review,diagnostic,82.1,36.9
raincloud_response_001_115,Baseline review,diagnostic,57.5,39.3
raincloud_response_001_116,Baseline review,midcycle,67.5,38.1
raincloud_response_001_117,Baseline review,diagnostic,43.3,38.2
raincloud_response_001_118,Baseline review,midcycle,44.9,30.2
raincloud_response_001_119,Baseline review,midcycle,47.4,18.6
raincloud_response_001_120,Baseline review,midcycle,62.6,48.7
raincloud_response_001_121,Baseline review,diagnostic,50.5,31.4
raincloud_response_001_122,Baseline review,diagnostic,75,40
raincloud_response_001_123,Baseline review,postcycle,55.3,41.1
raincloud_response_001_124,Baseline review,postcycle,54.8,39.5
raincloud_response_001_125,Baseline review,diagnostic,57.3,23.7
raincloud_response_001_126,Baseline review,diagnostic,41.8,32.2
raincloud_response_001_127,Baseline review,midcycle,86.4,40.3
raincloud_response_001_128,Baseline review,postcycle,51.6,36.7
raincloud_response_001_129,Baseline review,postcycle,43.2,29.4
raincloud_response_001_130,Baseline review,postcycle,75.3,34.8
raincloud_response_001_131,Baseline review,midcycle,82.6,34.6
raincloud_response_001_132,Baseline review,postcycle,36.8,44.6
raincloud_response_001_133,Baseline review,midcycle,51,37.8
raincloud_response_001_134,Baseline review,postcycle,85.2,44.3
raincloud_response_001_135,Baseline review,diagnostic,56.6,30.7
raincloud_response_001_136,Baseline review,diagnostic,37.6,30.3
raincloud_response_001_137,Baseline review,midcycle,40.4,34.5
raincloud_response_001_138,Baseline review,midcycle,74.2,35
raincloud_response_001_139,Baseline review,postcycle,54.4,49.2
raincloud_response_001_140,Baseline review,midcycle,76.2,39.5
raincloud_response_001_141,Baseline review,midcycle,62.8,36.6
raincloud_response_001_142,Baseline review,diagnostic,61.6,26.9
raincloud_response_001_143,Baseline review,midcycle,34.2,32.8
raincloud_response_001_144,Baseline review,diagnostic,30,31.7
raincloud_response_001_145,Baseline review,diagnostic,55.4,28.3
raincloud_response_001_146,Baseline review,midcycle,68.3,31
raincloud_response_001_147,Baseline review,postcycle,58,34.6
raincloud_response_001_148,Baseline review,postcycle,84.7,36.9
raincloud_response_001_149,Baseline review,postcycle,45,32.9
raincloud_response_001_150,Baseline review,midcycle,58.4,28.3
raincloud_response_001_151,Baseline review,diagnostic,64.3,33.6
raincloud_response_001_152,Baseline review,diagnostic,30.6,40.3
raincloud_response_001_153,Baseline review,postcycle,77.5,45.2
raincloud_response_001_154,Baseline review,diagnostic,57.6,30.3
raincloud_response_001_155,Baseline review,midcycle,51.3,36
raincloud_response_001_156,Baseline review,midcycle,64.7,12
raincloud_response_001_157,Baseline review,diagnostic,49.6,37.6
raincloud_response_001_158,Baseline review,postcycle,51.8,25
raincloud_response_001_159,Baseline review,midcycle,53.6,35.8
raincloud_response_001_160,Baseline review,postcycle,43,47.2
raincloud_response_001_161,Baseline review,diagnostic,55.3,35.8
raincloud_response_001_162,Baseline review,postcycle,89.8,14.7
raincloud_response_001_163,Baseline review,diagnostic,58.2,44.3
raincloud_response_001_164,Baseline review,postcycle,64.6,34.6
raincloud_response_001_165,Baseline review,postcycle,53,21.9
raincloud_response_001_166,Baseline review,postcycle,48.8,41.6
raincloud_response_001_167,Baseline review,postcycle,54.4,35.4
raincloud_response_001_168,Baseline review,midcycle,76.6,50.8
raincloud_response_001_169,Baseline review,postcycle,51.9,35.4
raincloud_response_001_170,Baseline review,midcycle,74.6,36.5
raincloud_response_001_171,Baseline review,postcycle,72.8,33.5
raincloud_response_001_172,Baseline review,diagnostic,44.7,37.8
raincloud_response_001_173,Baseline review,postcycle,50.2,29.9
raincloud_response_001_174,Baseline review,diagnostic,76.2,28
raincloud_response_001_175,Baseline review,midcycle,60.8,36.5
raincloud_response_001_176,Baseline review,postcycle,82.9,23.2
raincloud_response_001_177,Baseline review,postcycle,50.5,33.8
raincloud_response_001_178,Baseline review,diagnostic,45.4,39.6
raincloud_response_001_179,Baseline review,diagnostic,44,34.2
raincloud_response_001_180,Baseline review,postcycle,87.3,34.3
raincloud_response_001_181,Baseline review,diagnostic,72.1,30.9
raincloud_response_001_182,Baseline review,diagnostic,52.1,30.9
raincloud_response_001_183,Baseline review,diagnostic,46.4,35.6
raincloud_response_001_184,Baseline review,midcycle,57.2,35.1
raincloud_response_001_185,Baseline review,midcycle,52.1,30.4
raincloud_response_001_186,Baseline review,diagnostic,45.6,40
raincloud_response_001_187,Baseline review,postcycle,54.8,49.8
raincloud_response_001_188,Baseline review,midcycle,55.1,27.9
raincloud_response_001_189,Baseline review,postcycle,51.2,30.4
raincloud_response_001_190,Baseline review,postcycle,39.6,24.3
raincloud_response_001_191,Baseline review,diagnostic,56.1,30.2
raincloud_response_001_192,Baseline review,postcycle,39.3,38.1
raincloud_response_001_193,Baseline review,diagnostic,58.3,31.2
raincloud_response_001_194,Baseline review,diagnostic,91,34.9
raincloud_response_001_195,Baseline review,midcycle,74.9,33.1
raincloud_response_001_196,Baseline review,midcycle,83.1,25.5
raincloud_response_001_197,Baseline review,diagnostic,69.7,34.4
raincloud_response_001_198,Baseline review,midcycle,83.1,24.5
raincloud_response_001_199,Baseline review,diagnostic,71.5,35.7
raincloud_response_001_200,Baseline review,postcycle,68,29
raincloud_response_001_201,Baseline review,midcycle,53.3,22.4
raincloud_response_001_202,Baseline review,postcycle,73,32.3
raincloud_response_001_203,Baseline review,midcycle,75.1,40.2
raincloud_response_001_204,Baseline review,midcycle,85.6,33
raincloud_response_001_205,Baseline review,diagnostic,81.3,27.6
raincloud_response_001_206,Baseline review,midcycle,46.2,34.4
raincloud_response_001_207,Baseline review,midcycle,66.9,33.6
raincloud_response_001_208,Baseline review,postcycle,42.7,31.5
raincloud_response_001_209,Baseline review,midcycle,61.5,33.1
raincloud_response_001_210,Baseline review,diagnostic,37.5,43.5
raincloud_response_001_211,Baseline review,diagnostic,37.1,36.8
raincloud_response_001_212,Baseline review,midcycle,100,25
raincloud_response_001_213,Baseline review,postcycle,51.7,36.1
raincloud_response_001_214,Baseline review,midcycle,64,46
raincloud_response_001_215,Baseline review,diagnostic,63,33.8
raincloud_response_001_216,Baseline review,midcycle,21,42.9
raincloud_response_001_217,Baseline review,midcycle,74.7,35.8
raincloud_response_001_218,Baseline review,postcycle,41.6,29.9
raincloud_response_001_219,Baseline review,postcycle,46,31
raincloud_response_001_220,Baseline review,postcycle,56.6,34.6
raincloud_response_001_221,Baseline review,postcycle,75.8,43.2
raincloud_response_001_222,Baseline review,diagnostic,63.1,23.3
raincloud_response_001_223,Baseline review,diagnostic,42.2,34.7
raincloud_response_001_224,Baseline review,diagnostic,62.6,30.6
raincloud_response_001_225,Baseline review,midcycle,63.2,45
raincloud_response_001_226,Baseline review,midcycle,71.4,34.6
raincloud_response_001_227,Baseline review,diagnostic,35.9,36.6
raincloud_response_001_228,Baseline review,midcycle,74.2,44.5
raincloud_response_001_229,Baseline review,midcycle,36.6,38.9
raincloud_response_001_230,Baseline review,diagnostic,56.7,25
raincloud_response_001_231,Baseline review,midcycle,64.6,33.3
raincloud_response_001_232,Baseline review,postcycle,39.7,27.3
raincloud_response_001_233,Baseline review,midcycle,56.2,21.1
raincloud_response_001_234,Baseline review,postcycle,48.4,46
raincloud_response_001_235,Baseline review,midcycle,57.7,31.5
raincloud_response_001_236,Baseline review,postcycle,58.6,33.7
raincloud_response_001_237,Baseline review,postcycle,79.8,25.8
raincloud_response_001_238,Baseline review,midcycle,39,21.9
raincloud_response_001_239,Baseline review,diagnostic,59.1,29.5
raincloud_response_001_240,Baseline review,midcycle,77.4,39.7
raincloud_response_001_241,Baseline review,postcycle,62.1,44.7
raincloud_response_001_242,Baseline review,diagnostic,46.3,37.8
raincloud_response_001_243,Baseline review,diagnostic,50.7,44.1
raincloud_response_001_244,Baseline review,postcycle,72.5,32.3
raincloud_response_001_245,Baseline review,midcycle,73.1,27.6
raincloud_response_001_246,Baseline review,postcycle,59.6,45.4
raincloud_response_001_247,Baseline review,midcycle,76,41.7
raincloud_response_001_248,Baseline review,diagnostic,59.6,51.6
raincloud_response_001_249,Baseline review,midcycle,54.2,25.8
raincloud_response_001_250,Baseline review,midcycle,40.9,46.3
raincloud_response_001_251,Baseline review,diagnostic,56.4,31.6
raincloud_response_001_252,Baseline review,midcycle,40.1,22.3
raincloud_response_001_253,Baseline review,diagnostic,42.1,30.4
raincloud_response_001_254,Baseline review,midcycle,72.7,16.7
raincloud_response_001_255,Baseline review,postcycle,79.9,36.4
raincloud_response_001_256,Baseline review,midcycle,86.9,36.3
raincloud_response_001_257,Baseline review,diagnostic,54.8,37.8
raincloud_response_001_258,Baseline review,diagnostic,67.3,24
raincloud_response_001_259,Baseline review,diagnostic,36.9,48.5
raincloud_response_001_260,Baseline review,diagnostic,51.5,32.2
raincloud_response_002_001,Targeted reteach,diagnostic,75.5,41.1
raincloud_response_002_002,Targeted reteach,diagnostic,56.9,34.4
raincloud_response_002_003,Targeted reteach,postcycle,56.6,36.1
raincloud_response_002_004,Targeted reteach,diagnostic,64.4,33.3
raincloud_response_002_005,Targeted reteach,diagnostic,85,41.5
raincloud_response_002_006,Targeted reteach,diagnostic,88.5,33.8
raincloud_response_002_007,Targeted reteach,midcycle,74,33.5
raincloud_response_002_008,Targeted reteach,midcycle,100,30.8
raincloud_response_002_009,Targeted reteach,midcycle,73.1,36.9
raincloud_response_002_010,Targeted reteach,postcycle,73.1,31
raincloud_response_002_011,Targeted reteach,diagnostic,84,39.2
raincloud_response_002_012,Targeted reteach,midcycle,44.9,29.6
raincloud_response_002_013,Targeted reteach,diagnostic,80.4,12
raincloud_response_002_014,Targeted reteach,diagnostic,89.3,41.8
raincloud_response_002_015,Targeted reteach,diagnostic,64.3,37.7
raincloud_response_002_016,Targeted reteach,diagnostic,79.2,29.3
raincloud_response_002_017,Targeted reteach,postcycle,80.3,34.6
raincloud_response_002_018,Targeted reteach,diagnostic,75.4,33.3
raincloud_response_002_019,Targeted reteach,postcycle,77.1,40.9
raincloud_response_002_020,Targeted reteach,postcycle,72.6,14.5
raincloud_response_002_021,Targeted reteach,postcycle,91.5,23.7
raincloud_response_002_022,Targeted reteach,midcycle,68.5,47.7
raincloud_response_002_023,Targeted reteach,postcycle,100,34.4
raincloud_response_002_024,Targeted reteach,diagnostic,75.9,39.2
raincloud_response_002_025,Targeted reteach,postcycle,71.4,45
raincloud_response_002_026,Targeted reteach,midcycle,45.5,35.4
raincloud_response_002_027,Targeted reteach,midcycle,80.4,31.5
raincloud_response_002_028,Targeted reteach,diagnostic,51.7,44.4
raincloud_response_002_029,Targeted reteach,postcycle,47.3,21.2
raincloud_response_002_030,Targeted reteach,postcycle,35.2,32.3
raincloud_response_002_031,Targeted reteach,midcycle,63.4,36.9
raincloud_response_002_032,Targeted reteach,postcycle,64.6,13.3
raincloud_response_002_033,Targeted reteach,midcycle,71.9,28.3
raincloud_response_002_034,Targeted reteach,postcycle,57,28.1
raincloud_response_002_035,Targeted reteach,diagnostic,86,31.6
raincloud_response_002_036,Targeted reteach,postcycle,96.4,22.4
raincloud_response_002_037,Targeted reteach,diagnostic,89.1,22.3
raincloud_response_002_038,Targeted reteach,postcycle,68.1,40.8
raincloud_response_002_039,Targeted reteach,diagnostic,58.4,17.9
raincloud_response_002_040,Targeted reteach,midcycle,86,25.9
raincloud_response_002_041,Targeted reteach,midcycle,94.8,35.6
raincloud_response_002_042,Targeted reteach,midcycle,88.3,36.9
raincloud_response_002_043,Targeted reteach,midcycle,70.7,42.2
raincloud_response_002_044,Targeted reteach,midcycle,62.8,29.3
raincloud_response_002_045,Targeted reteach,postcycle,87.8,34.5
raincloud_response_002_046,Targeted reteach,midcycle,46.5,52.7
raincloud_response_002_047,Targeted reteach,midcycle,79.3,33.5
raincloud_response_002_048,Targeted reteach,midcycle,68.9,47.2
raincloud_response_002_049,Targeted reteach,diagnostic,88.2,25.4
raincloud_response_002_050,Targeted reteach,midcycle,92,24.4
raincloud_response_002_051,Targeted reteach,diagnostic,76.6,34.7
raincloud_response_002_052,Targeted reteach,midcycle,36.5,42.8
raincloud_response_002_053,Targeted reteach,diagnostic,87.4,22
raincloud_response_002_054,Targeted reteach,diagnostic,75.3,26.1
raincloud_response_002_055,Targeted reteach,diagnostic,64.4,29
raincloud_response_002_056,Targeted reteach,postcycle,79.3,35.3
raincloud_response_002_057,Targeted reteach,midcycle,98.5,33.9
raincloud_response_002_058,Targeted reteach,postcycle,88.7,34
raincloud_response_002_059,Targeted reteach,midcycle,73.5,40.8
raincloud_response_002_060,Targeted reteach,midcycle,74.3,27.3
raincloud_response_002_061,Targeted reteach,postcycle,73.4,31.9
raincloud_response_002_062,Targeted reteach,diagnostic,58.1,45.8
raincloud_response_002_063,Targeted reteach,diagnostic,73,25.2
raincloud_response_002_064,Targeted reteach,midcycle,58.1,31
raincloud_response_002_065,Targeted reteach,diagnostic,66,37.5
raincloud_response_002_066,Targeted reteach,postcycle,90.2,23.4
raincloud_response_002_067,Targeted reteach,diagnostic,79.4,45.1
raincloud_response_002_068,Targeted reteach,postcycle,67,47.2
raincloud_response_002_069,Targeted reteach,postcycle,71.3,34.7
raincloud_response_002_070,Targeted reteach,postcycle,74.3,40.4
raincloud_response_002_071,Targeted reteach,midcycle,62.1,39
raincloud_response_002_072,Targeted reteach,midcycle,60.4,53.4
raincloud_response_002_073,Targeted reteach,postcycle,92.6,17.6
raincloud_response_002_074,Targeted reteach,postcycle,49.1,31.8
raincloud_response_002_075,Targeted reteach,midcycle,71.5,26.6
raincloud_response_002_076,Targeted reteach,postcycle,54,30.2
raincloud_response_002_077,Targeted reteach,postcycle,68.9,30.4
raincloud_response_002_078,Targeted reteach,postcycle,67.1,33.9
raincloud_response_002_079,Targeted reteach,midcycle,78,30.6
raincloud_response_002_080,Targeted reteach,postcycle,45.1,44.7
raincloud_response_002_081,Targeted reteach,midcycle,81.4,25.8
raincloud_response_002_082,Targeted reteach,midcycle,73.2,25.8
raincloud_response_002_083,Targeted reteach,diagnostic,67.6,29.9
raincloud_response_002_084,Targeted reteach,midcycle,64.1,35.3
raincloud_response_002_085,Targeted reteach,diagnostic,73.7,34.1
raincloud_response_002_086,Targeted reteach,midcycle,64.8,41.4
raincloud_response_002_087,Targeted reteach,midcycle,74.9,39.1
raincloud_response_002_088,Targeted reteach,diagnostic,74,32.8
raincloud_response_002_089,Targeted reteach,midcycle,65.7,22.2
raincloud_response_002_090,Targeted reteach,midcycle,92.8,20.9
raincloud_response_002_091,Targeted reteach,midcycle,77.3,43.4
raincloud_response_002_092,Targeted reteach,midcycle,85.8,37.6
raincloud_response_002_093,Targeted reteach,midcycle,78.4,17.7
raincloud_response_002_094,Targeted reteach,midcycle,49.5,35.3
raincloud_response_002_095,Targeted reteach,diagnostic,68.3,36.6
raincloud_response_002_096,Targeted reteach,midcycle,69.4,35.3
raincloud_response_002_097,Targeted reteach,postcycle,78,32.3
raincloud_response_002_098,Targeted reteach,diagnostic,71.6,22.8
raincloud_response_002_099,Targeted reteach,postcycle,44.9,45.2
raincloud_response_002_100,Targeted reteach,midcycle,56.1,33.4
raincloud_response_002_101,Targeted reteach,postcycle,82.5,40.7
raincloud_response_002_102,Targeted reteach,midcycle,45,41
raincloud_response_002_103,Targeted reteach,midcycle,82.9,30.2
raincloud_response_002_104,Targeted reteach,postcycle,75.8,40.7
raincloud_response_002_105,Targeted reteach,diagnostic,68.4,43.9
raincloud_response_002_106,Targeted reteach,postcycle,86.6,34.8
raincloud_response_002_107,Targeted reteach,diagnostic,65.1,40.6
raincloud_response_002_108,Targeted reteach,diagnostic,64.9,30.7
raincloud_response_002_109,Targeted reteach,midcycle,77.7,41.1
raincloud_response_002_110,Targeted reteach,postcycle,79.9,22.5
raincloud_response_002_111,Targeted reteach,midcycle,45.9,52.9
raincloud_response_002_112,Targeted reteach,postcycle,65.6,32.6
raincloud_response_002_113,Targeted reteach,diagnostic,59.8,39.8
raincloud_response_002_114,Targeted reteach,midcycle,77.7,18.5
raincloud_response_002_115,Targeted reteach,midcycle,96.3,34.9
raincloud_response_002_116,Targeted reteach,postcycle,49.2,33.2
raincloud_response_002_117,Targeted reteach,postcycle,67.3,26.2
raincloud_response_002_118,Targeted reteach,midcycle,77.3,27.5
raincloud_response_002_119,Targeted reteach,midcycle,86,41.2
raincloud_response_002_120,Targeted reteach,midcycle,83.7,32.7
raincloud_response_002_121,Targeted reteach,diagnostic,77.4,37.8
raincloud_response_002_122,Targeted reteach,midcycle,50.9,21.5
raincloud_response_002_123,Targeted reteach,midcycle,64.7,29.9
raincloud_response_002_124,Targeted reteach,diagnostic,85.7,37.8
raincloud_response_002_125,Targeted reteach,midcycle,67.9,30
raincloud_response_002_126,Targeted reteach,postcycle,67.1,27.9
raincloud_response_002_127,Targeted reteach,midcycle,71.7,39.1
raincloud_response_002_128,Targeted reteach,midcycle,66.9,13.9
raincloud_response_002_129,Targeted reteach,midcycle,49.6,44.1
raincloud_response_002_130,Targeted reteach,midcycle,74.1,36
raincloud_response_002_131,Targeted reteach,postcycle,71.3,35
raincloud_response_002_132,Targeted reteach,diagnostic,63.2,31
raincloud_response_002_133,Targeted reteach,postcycle,62.2,35.5
raincloud_response_002_134,Targeted reteach,postcycle,82.6,45.3
raincloud_response_002_135,Targeted reteach,midcycle,54.7,43
raincloud_response_002_136,Targeted reteach,midcycle,49.7,50.7
raincloud_response_002_137,Targeted reteach,postcycle,81,38.6
raincloud_response_002_138,Targeted reteach,diagnostic,79.2,29
raincloud_response_002_139,Targeted reteach,postcycle,72.6,40.8
raincloud_response_002_140,Targeted reteach,diagnostic,75.3,31.3
raincloud_response_002_141,Targeted reteach,midcycle,76.5,31.6
raincloud_response_002_142,Targeted reteach,midcycle,74.2,24.1
raincloud_response_002_143,Targeted reteach,postcycle,69.4,48.6
raincloud_response_002_144,Targeted reteach,diagnostic,75,39.2
raincloud_response_002_145,Targeted reteach,midcycle,74.5,28.5
raincloud_response_002_146,Targeted reteach,postcycle,68.9,22.6
raincloud_response_002_147,Targeted reteach,diagnostic,68.9,35.9
raincloud_response_002_148,Targeted reteach,diagnostic,83.5,20.8
raincloud_response_002_149,Targeted reteach,midcycle,69.2,37.1
raincloud_response_002_150,Targeted reteach,diagnostic,98.9,40.2
raincloud_response_002_151,Targeted reteach,postcycle,79.1,44.6
raincloud_response_002_152,Targeted reteach,postcycle,70.7,27
raincloud_response_002_153,Targeted reteach,postcycle,70.2,24.6
raincloud_response_002_154,Targeted reteach,midcycle,44.4,31.1
raincloud_response_002_155,Targeted reteach,midcycle,81.2,31.4
raincloud_response_002_156,Targeted reteach,diagnostic,78.5,38
raincloud_response_002_157,Targeted reteach,postcycle,77.5,30.5
raincloud_response_002_158,Targeted reteach,midcycle,67,21.9
raincloud_response_002_159,Targeted reteach,midcycle,62.3,41.8
raincloud_response_002_160,Targeted reteach,postcycle,57.4,31.1
raincloud_response_002_161,Targeted reteach,diagnostic,69.3,38.6
raincloud_response_002_162,Targeted reteach,diagnostic,71.4,34.7
raincloud_response_002_163,Targeted reteach,midcycle,77.5,36.5
raincloud_response_002_164,Targeted reteach,postcycle,69.6,35.3
raincloud_response_002_165,Targeted reteach,midcycle,75.7,39.5
raincloud_response_002_166,Targeted reteach,postcycle,76.8,39.8
raincloud_response_002_167,Targeted reteach,diagnostic,65.8,30.8
raincloud_response_002_168,Targeted reteach,midcycle,65.9,29.5
raincloud_response_002_169,Targeted reteach,diagnostic,64.4,38.8
raincloud_response_002_170,Targeted reteach,postcycle,73,23.4
raincloud_response_002_171,Targeted reteach,postcycle,87.3,33.1
raincloud_response_002_172,Targeted reteach,postcycle,68.5,23.2
raincloud_response_002_173,Targeted reteach,diagnostic,88.6,37.8
raincloud_response_002_174,Targeted reteach,midcycle,56.3,29.5
raincloud_response_002_175,Targeted reteach,postcycle,35.4,35.8
raincloud_response_002_176,Targeted reteach,postcycle,64.9,34.9
raincloud_response_002_177,Targeted reteach,diagnostic,69.8,36.7
raincloud_response_002_178,Targeted reteach,midcycle,79.4,27.3
raincloud_response_002_179,Targeted reteach,midcycle,71.6,46.4
raincloud_response_002_180,Targeted reteach,postcycle,76.4,35.1
raincloud_response_002_181,Targeted reteach,midcycle,42.3,34
raincloud_response_002_182,Targeted reteach,postcycle,94,24
raincloud_response_002_183,Targeted reteach,postcycle,57,37.2
raincloud_response_002_184,Targeted reteach,midcycle,62.8,41.8
raincloud_response_002_185,Targeted reteach,postcycle,60.6,29.8
raincloud_response_002_186,Targeted reteach,postcycle,67.9,41.5
raincloud_response_002_187,Targeted reteach,diagnostic,58.2,29.9
raincloud_response_002_188,Targeted reteach,midcycle,72.1,36.2
raincloud_response_002_189,Targeted reteach,midcycle,52.3,25.9
raincloud_response_002_190,Targeted reteach,diagnostic,71.1,40.9
raincloud_response_002_191,Targeted reteach,midcycle,64.9,34.7
raincloud_response_002_192,Targeted reteach,midcycle,61.9,33.2
raincloud_response_002_193,Targeted reteach,midcycle,65,21.5
