student_dim_id,sis_user_id,student_label,grade_level,attendance_category,course_id,course_name,course_track,section_id,section_label,teacher_id,teacher_label,boy_assignment_label,eoy_assignment_label,assignment_01_score,assignment_02_score,observed_growth_delta,modeled_assignment_02_growth_delta,posterior_readiness_after_assignment_02,assignment_02_generation_mode,academic_profile_status
171,SYN-SIS-000171,Synthetic Student 171,9,high,MATH-ALG1,Algebra 1,regular,Y00-SEC-002,Algebra 1 - Synthetic Section 01-02,TCH-001,Teacher 01,Assignment 01,Assignment 02,10.9,15.75,4.85,4.85,16.489,school_year_growth_from_latent_readiness,updated_assignment_02
172,SYN-SIS-000172,Synthetic Student 172,9,high,MATH-ALG1,Algebra 1,regular,Y00-SEC-001,Algebra 1 - Synthetic Section 01-01,TCH-001,Teacher 01,Assignment 01,Assignment 02,22.43,37.46,15.030000000000001,15.03,36.115,school_year_growth_from_latent_readiness,updated_assignment_02
204,SYN-SIS-000204,Synthetic Student 204,9,high,MATH-ALG1,Algebra 1,regular,Y00-SEC-002,Algebra 1 - Synthetic Section 01-02,TCH-001,Teacher 01,Assignment 01,Assignment 02,0.0,47.43,,,47.0529,first_present_evidence_from_latent,initialized_assignment_02
205,SYN-SIS-000205,Synthetic Student 205,9,high,MATH-ALG1,Algebra 1,regular,Y00-SEC-002,Algebra 1 - Synthetic Section 01-02,TCH-001,Teacher 01,Assignment 01,Assignment 02,15.14,25.18,10.04,10.04,24.9282,school_year_growth_from_latent_readiness,updated_assignment_02
221,SYN-SIS-000221,Synthetic Student 221,9,high,MATH-ALG1,Algebra 1,regular,Y00-SEC-002,Algebra 1 - Synthetic Section 01-02,TCH-001,Teacher 01,Assignment 01,Assignment 02,73.3,74.41,1.1099999999999994,1.11,72.9998,school_year_growth_from_latent_readiness,updated_assignment_02
225,SYN-SIS-000225,Synthetic Student 225,9,normal,MATH-ALG1,Algebra 1,regular,Y00-SEC-001,Algebra 1 - Synthetic Section 01-01,TCH-001,Teacher 01,Assignment 01,Assignment 02,43.02,53.35,10.329999999999998,10.33,51.8337,school_year_growth_from_latent_readiness,updated_assignment_02
231,SYN-SIS-000231,Synthetic Student 231,9,high,MATH-ALG1,Algebra 1,regular,Y00-SEC-002,Algebra 1 - Synthetic Section 01-02,TCH-001,Teacher 01,Assignment 01,Assignment 02,28.53,41.87,13.339999999999996,13.34,40.5204,school_year_growth_from_latent_readiness,updated_assignment_02
263,SYN-SIS-000263,Synthetic Student 263,9,high,MATH-ALG1,Algebra 1,regular,Y00-SEC-002,Algebra 1 - Synthetic Section 01-02,TCH-001,Teacher 01,Assignment 01,Assignment 02,11.98,15.93,3.9499999999999993,3.95,16.7614,school_year_growth_from_latent_readiness,updated_assignment_02
279,SYN-SIS-000279,Synthetic Student 279,9,normal,MATH-ALG1,Algebra 1,regular,Y00-SEC-001,Algebra 1 - Synthetic Section 01-01,TCH-001,Teacher 01,Assignment 01,Assignment 02,21.15,31.99,10.84,10.84,31.3512,school_year_growth_from_latent_readiness,updated_assignment_02
518,SYN-SIS-000290,Synthetic Student 290,9,high,MATH-ALG1,Algebra 1,regular,Y01-SEC-001,Algebra 1 - Synthetic Section 02-01,TCH-001,Teacher 01,Assignment 03,Assignment 04,4.91,13.74,8.83,8.83,14.1235,school_year_growth_from_latent_readiness,updated_assignment_04
522,SYN-SIS-000294,Synthetic Student 294,9,high,MATH-ALG1,Algebra 1,regular,Y01-SEC-001,Algebra 1 - Synthetic Section 02-01,TCH-001,Teacher 01,Assignment 03,Assignment 04,24.58,39.89,15.310000000000002,15.31,38.4075,school_year_growth_from_latent_readiness,updated_assignment_04
526,SYN-SIS-000298,Synthetic Student 298,9,high,MATH-ALG1,Algebra 1,regular,Y01-SEC-001,Algebra 1 - Synthetic Section 02-01,TCH-001,Teacher 01,Assignment 03,Assignment 04,37.98,45.21,7.230000000000004,7.23,44.3952,school_year_growth_from_latent_readiness,updated_assignment_04
527,SYN-SIS-000299,Synthetic Student 299,9,normal,MATH-ALG1,Algebra 1,regular,Y01-SEC-001,Algebra 1 - Synthetic Section 02-01,TCH-001,Teacher 01,Assignment 03,Assignment 04,22.56,24.43,1.870000000000001,1.87,25.1214,school_year_growth_from_latent_readiness,updated_assignment_04
537,SYN-SIS-000309,Synthetic Student 309,9,high,MATH-ALG1,Algebra 1,regular,Y01-SEC-001,Algebra 1 - Synthetic Section 02-01,TCH-001,Teacher 01,Assignment 03,Assignment 04,38.07,52.9,14.829999999999998,14.83,50.9019,school_year_growth_from_latent_readiness,updated_assignment_04
543,SYN-SIS-000315,Synthetic Student 315,9,normal,MATH-ALG1,Algebra 1,regular,Y01-SEC-001,Algebra 1 - Synthetic Section 02-01,TCH-001,Teacher 01,Assignment 03,Assignment 04,38.67,51.93,13.259999999999998,13.26,50.1493,school_year_growth_from_latent_readiness,updated_assignment_04
545,SYN-SIS-000317,Synthetic Student 317,9,high,MATH-ALG1,Algebra 1,regular,Y01-SEC-001,Algebra 1 - Synthetic Section 02-01,TCH-001,Teacher 01,Assignment 03,Assignment 04,53.41,59.55,6.140000000000001,6.14,58.2294,school_year_growth_from_latent_readiness,updated_assignment_04
549,SYN-SIS-000321,Synthetic Student 321,9,high,MATH-ALG1,Algebra 1,regular,Y01-SEC-001,Algebra 1 - Synthetic Section 02-01,TCH-001,Teacher 01,Assignment 03,Assignment 04,34.65,35.58,0.9299999999999997,0.93,35.8884,school_year_growth_from_latent_readiness,updated_assignment_04
555,SYN-SIS-000327,Synthetic Student 327,9,normal,MATH-ALG1,Algebra 1,regular,Y01-SEC-001,Algebra 1 - Synthetic Section 02-01,TCH-001,Teacher 01,Assignment 03,Assignment 04,40.29,46.96,6.670000000000002,6.67,46.131,school_year_growth_from_latent_readiness,updated_assignment_04
561,SYN-SIS-000333,Synthetic Student 333,9,normal,MATH-ALG1,Algebra 1,regular,Y01-SEC-001,Algebra 1 - Synthetic Section 02-01,TCH-001,Teacher 01,Assignment 03,Assignment 04,0.0,41.34,,,41.9079,first_present_evidence_from_latent,initialized_assignment_04
562,SYN-SIS-000334,Synthetic Student 334,9,at_risk,MATH-ALG1,Algebra 1,regular,Y01-SEC-001,Algebra 1 - Synthetic Section 02-01,TCH-001,Teacher 01,Assignment 03,Assignment 04,38.73,0.0,,,,absent_no_update,observed_readiness_unchanged_absent
566,SYN-SIS-000338,Synthetic Student 338,9,normal,MATH-ALG1,Algebra 1,regular,Y01-SEC-001,Algebra 1 - Synthetic Section 02-01,TCH-001,Teacher 01,Assignment 03,Assignment 04,61.4,54.22,-7.18,-7.18,54.6168,school_year_growth_from_latent_readiness,updated_assignment_04
571,SYN-SIS-000343,Synthetic Student 343,9,normal,MATH-ALG1,Algebra 1,regular,Y01-SEC-001,Algebra 1 - Synthetic Section 02-01,TCH-001,Teacher 01,Assignment 03,Assignment 04,0.0,63.66,,,60.7645,first_present_evidence_from_latent,initialized_assignment_04
801,SYN-SIS-000349,Synthetic Student 349,9,normal,MATH-ALG1,Algebra 1,regular,Y02-SEC-001,Algebra 1 - Synthetic Section 03-01,TCH-001,Teacher 01,Assignment 05,Assignment 06,46.88,0.0,,,,absent_no_update,observed_readiness_unchanged_absent
805,SYN-SIS-000353,Synthetic Student 353,9,normal,MATH-ALG1,Algebra 1,regular,Y02-SEC-001,Algebra 1 - Synthetic Section 03-01,TCH-001,Teacher 01,Assignment 05,Assignment 06,20.44,25.16,4.719999999999999,4.72,25.5019,school_year_growth_from_latent_readiness,updated_assignment_06
806,SYN-SIS-000354,Synthetic Student 354,9,high,MATH-ALG1,Algebra 1,regular,Y02-SEC-001,Algebra 1 - Synthetic Section 03-01,TCH-001,Teacher 01,Assignment 05,Assignment 06,38.35,43.81,5.460000000000001,5.46,43.2536,school_year_growth_from_latent_readiness,updated_assignment_06
811,SYN-SIS-000359,Synthetic Student 359,9,at_risk,MATH-ALG1,Algebra 1,regular,Y02-SEC-001,Algebra 1 - Synthetic Section 03-01,TCH-001,Teacher 01,Assignment 05,Assignment 06,65.0,66.77,1.769999999999996,1.77,65.6205,school_year_growth_from_latent_readiness,updated_assignment_06
813,SYN-SIS-000361,Synthetic Student 361,9,at_risk,MATH-ALG1,Algebra 1,regular,Y02-SEC-001,Algebra 1 - Synthetic Section 03-01,TCH-001,Teacher 01,Assignment 05,Assignment 06,0.0,40.98,,,41.6038,first_present_evidence_from_latent,initialized_assignment_06
816,SYN-SIS-000364,Synthetic Student 364,9,high,MATH-ALG1,Algebra 1,regular,Y02-SEC-001,Algebra 1 - Synthetic Section 03-01,TCH-001,Teacher 01,Assignment 05,Assignment 06,22.37,26.26,3.8900000000000006,3.89,26.6463,school_year_growth_from_latent_readiness,updated_assignment_06
826,SYN-SIS-000374,Synthetic Student 374,9,normal,MATH-ALG1,Algebra 1,regular,Y02-SEC-001,Algebra 1 - Synthetic Section 03-01,TCH-001,Teacher 01,Assignment 05,Assignment 06,12.62,18.5,5.880000000000001,5.88,19.004,school_year_growth_from_latent_readiness,updated_assignment_06
830,SYN-SIS-000378,Synthetic Student 378,9,high,MATH-ALG1,Algebra 1,regular,Y02-SEC-001,Algebra 1 - Synthetic Section 03-01,TCH-001,Teacher 01,Assignment 05,Assignment 06,62.07,78.15,16.080000000000005,16.08,74.9081,school_year_growth_from_latent_readiness,updated_assignment_06
835,SYN-SIS-000383,Synthetic Student 383,9,normal,MATH-ALG1,Algebra 1,regular,Y02-SEC-001,Algebra 1 - Synthetic Section 03-01,TCH-001,Teacher 01,Assignment 05,Assignment 06,27.57,38.49,10.920000000000002,10.92,37.558,school_year_growth_from_latent_readiness,updated_assignment_06
849,SYN-SIS-000397,Synthetic Student 397,9,high,MATH-ALG1,Algebra 1,regular,Y02-SEC-001,Algebra 1 - Synthetic Section 03-01,TCH-001,Teacher 01,Assignment 05,Assignment 06,22.81,24.53,1.7200000000000024,1.72,25.2338,school_year_growth_from_latent_readiness,updated_assignment_06
850,SYN-SIS-000398,Synthetic Student 398,9,high,MATH-ALG1,Algebra 1,regular,Y02-SEC-001,Algebra 1 - Synthetic Section 03-01,TCH-001,Teacher 01,Assignment 05,Assignment 06,42.49,44.46,1.9699999999999989,1.97,44.2641,school_year_growth_from_latent_readiness,updated_assignment_06
857,SYN-SIS-000405,Synthetic Student 405,9,high,MATH-ALG1,Algebra 1,regular,Y02-SEC-001,Algebra 1 - Synthetic Section 03-01,TCH-001,Teacher 01,Assignment 05,Assignment 06,15.58,0.0,,,,absent_no_update,observed_readiness_unchanged_absent
859,SYN-SIS-000407,Synthetic Student 407,9,high,MATH-ALG1,Algebra 1,regular,Y02-SEC-001,Algebra 1 - Synthetic Section 03-01,TCH-001,Teacher 01,Assignment 05,Assignment 06,36.81,42.65,5.839999999999996,5.84,42.102,school_year_growth_from_latent_readiness,updated_assignment_06
1074,SYN-SIS-000411,Synthetic Student 411,9,at_risk,MATH-ALG1,Algebra 1,regular,Y03-SEC-001,Algebra 1 - Synthetic Section 04-01,TCH-001,Teacher 01,Assignment 07,Assignment 08,0.0,59.26,,,57.0472,first_present_evidence_from_latent,initialized_assignment_08
1077,SYN-SIS-000414,Synthetic Student 414,9,at_risk,MATH-ALG1,Algebra 1,regular,Y03-SEC-002,Algebra 1 - Synthetic Section 04-02,TCH-001,Teacher 01,Assignment 07,Assignment 08,24.33,0.0,,,,absent_no_update,observed_readiness_unchanged_absent
1089,SYN-SIS-000426,Synthetic Student 426,9,high,MATH-ALG1,Algebra 1,regular,Y03-SEC-001,Algebra 1 - Synthetic Section 04-01,TCH-001,Teacher 01,Assignment 07,Assignment 08,24.36,32.74,8.380000000000003,8.38,32.3425,school_year_growth_from_latent_readiness,updated_assignment_08
1090,SYN-SIS-000427,Synthetic Student 427,9,high,MATH-ALG1,Algebra 1,regular,Y03-SEC-001,Algebra 1 - Synthetic Section 04-01,TCH-001,Teacher 01,Assignment 07,Assignment 08,66.77,72.62,5.8500000000000085,5.85,70.76,school_year_growth_from_latent_readiness,updated_assignment_08
1091,SYN-SIS-000428,Synthetic Student 428,9,at_risk,MATH-ALG1,Algebra 1,regular,Y03-SEC-001,Algebra 1 - Synthetic Section 04-01,TCH-001,Teacher 01,Assignment 07,Assignment 08,47.47,55.59,8.120000000000005,8.12,54.222,school_year_growth_from_latent_readiness,updated_assignment_08
1095,SYN-SIS-000432,Synthetic Student 432,9,normal,MATH-ALG1,Algebra 1,regular,Y03-SEC-002,Algebra 1 - Synthetic Section 04-02,TCH-001,Teacher 01,Assignment 07,Assignment 08,52.99,57.53,4.539999999999999,4.54,56.476,school_year_growth_from_latent_readiness,updated_assignment_08
1097,SYN-SIS-000434,Synthetic Student 434,9,high,MATH-ALG1,Algebra 1,regular,Y03-SEC-002,Algebra 1 - Synthetic Section 04-02,TCH-001,Teacher 01,Assignment 07,Assignment 08,32.75,39.36,6.609999999999999,6.61,38.8702,school_year_growth_from_latent_readiness,updated_assignment_08
1099,SYN-SIS-000436,Synthetic Student 436,9,high,MATH-ALG1,Algebra 1,regular,Y03-SEC-002,Algebra 1 - Synthetic Section 04-02,TCH-001,Teacher 01,Assignment 07,Assignment 08,16.8,27.83,11.029999999999998,11.03,27.352,school_year_growth_from_latent_readiness,updated_assignment_08
1100,SYN-SIS-000437,Synthetic Student 437,9,normal,MATH-ALG1,Algebra 1,regular,Y03-SEC-001,Algebra 1 - Synthetic Section 04-01,TCH-001,Teacher 01,Assignment 07,Assignment 08,28.65,39.29,10.64,10.64,38.3542,school_year_growth_from_latent_readiness,updated_assignment_08
1120,SYN-SIS-000457,Synthetic Student 457,9,normal,MATH-ALG1,Algebra 1,regular,Y03-SEC-002,Algebra 1 - Synthetic Section 04-02,TCH-001,Teacher 01,Assignment 07,Assignment 08,47.13,54.28,7.149999999999999,7.15,53.0773,school_year_growth_from_latent_readiness,updated_assignment_08
1122,SYN-SIS-000459,Synthetic Student 459,9,normal,MATH-ALG1,Algebra 1,regular,Y03-SEC-001,Algebra 1 - Synthetic Section 04-01,TCH-001,Teacher 01,Assignment 07,Assignment 08,35.83,34.71,-1.1199999999999974,-1.12,35.2849,school_year_growth_from_latent_readiness,updated_assignment_08
1123,SYN-SIS-000460,Synthetic Student 460,9,high,MATH-ALG1,Algebra 1,regular,Y03-SEC-001,Algebra 1 - Synthetic Section 04-01,TCH-001,Teacher 01,Assignment 07,Assignment 08,26.83,35.51,8.68,8.68,34.9579,school_year_growth_from_latent_readiness,updated_assignment_08
1130,SYN-SIS-000467,Synthetic Student 467,9,normal,MATH-ALG1,Algebra 1,regular,Y03-SEC-002,Algebra 1 - Synthetic Section 04-02,TCH-001,Teacher 01,Assignment 07,Assignment 08,16.64,20.09,3.4499999999999993,3.45,20.7952,school_year_growth_from_latent_readiness,updated_assignment_08
1137,SYN-SIS-000474,Synthetic Student 474,9,high,MATH-ALG1,Algebra 1,regular,Y03-SEC-002,Algebra 1 - Synthetic Section 04-02,TCH-001,Teacher 01,Assignment 07,Assignment 08,30.08,29.78,-0.29999999999999716,-0.3,30.4792,school_year_growth_from_latent_readiness,updated_assignment_08
1138,SYN-SIS-000475,Synthetic Student 475,9,high,MATH-ALG1,Algebra 1,regular,Y03-SEC-002,Algebra 1 - Synthetic Section 04-02,TCH-001,Teacher 01,Assignment 07,Assignment 08,61.35,69.39,8.04,8.04,67.4272,school_year_growth_from_latent_readiness,updated_assignment_08
1146,SYN-SIS-000483,Synthetic Student 483,9,at_risk,MATH-ALG1,Algebra 1,regular,Y03-SEC-001,Algebra 1 - Synthetic Section 04-01,TCH-001,Teacher 01,Assignment 07,Assignment 08,30.15,36.77,6.6200000000000045,6.62,36.3923,school_year_growth_from_latent_readiness,updated_assignment_08
1347,SYN-SIS-000486,Synthetic Student 486,9,normal,MATH-ALG1,Algebra 1,regular,Y04-SEC-002,Algebra 1 - Synthetic Section 05-02,TCH-001,Teacher 01,Assignment 09,Assignment 10,37.92,48.58,10.659999999999997,10.66,47.2356,school_year_growth_from_latent_readiness,updated_assignment_10
1353,SYN-SIS-000492,Synthetic Student 492,9,normal,MATH-ALG1,Algebra 1,regular,Y04-SEC-001,Algebra 1 - Synthetic Section 05-01,TCH-001,Teacher 01,Assignment 09,Assignment 10,43.59,46.6,3.009999999999998,3.01,46.1946,school_year_growth_from_latent_readiness,updated_assignment_10
1361,SYN-SIS-000500,Synthetic Student 500,9,normal,MATH-ALG1,Algebra 1,regular,Y04-SEC-001,Algebra 1 - Synthetic Section 05-01,TCH-001,Teacher 01,Assignment 09,Assignment 10,47.35,51.47,4.119999999999997,4.12,50.7279,school_year_growth_from_latent_readiness,updated_assignment_10
1370,SYN-SIS-000509,Synthetic Student 509,9,high,MATH-ALG1,Algebra 1,regular,Y04-SEC-001,Algebra 1 - Synthetic Section 05-01,TCH-001,Teacher 01,Assignment 09,Assignment 10,35.43,51.17,15.740000000000002,15.74,49.1462,school_year_growth_from_latent_readiness,updated_assignment_10
1372,SYN-SIS-000511,Synthetic Student 511,9,normal,MATH-ALG1,Algebra 1,regular,Y04-SEC-002,Algebra 1 - Synthetic Section 05-02,TCH-001,Teacher 01,Assignment 09,Assignment 10,20.53,28.12,7.59,7.59,28.0126,school_year_growth_from_latent_readiness,updated_assignment_10
1382,SYN-SIS-000521,Synthetic Student 521,9,normal,MATH-ALG1,Algebra 1,regular,Y04-SEC-002,Algebra 1 - Synthetic Section 05-02,TCH-001,Teacher 01,Assignment 09,Assignment 10,58.76,64.08,5.32,5.32,62.6526,school_year_growth_from_latent_readiness,updated_assignment_10
1386,SYN-SIS-000525,Synthetic Student 525,9,high,MATH-ALG1,Algebra 1,regular,Y04-SEC-001,Algebra 1 - Synthetic Section 05-01,TCH-001,Teacher 01,Assignment 09,Assignment 10,38.41,49.17,10.760000000000005,10.76,47.7886,school_year_growth_from_latent_readiness,updated_assignment_10
1387,SYN-SIS-000526,Synthetic Student 526,9,normal,MATH-ALG1,Algebra 1,regular,Y04-SEC-002,Algebra 1 - Synthetic Section 05-02,TCH-001,Teacher 01,Assignment 09,Assignment 10,85.1,87.58,2.480000000000004,2.48,85.4411,school_year_growth_from_latent_readiness,updated_assignment_10
1394,SYN-SIS-000533,Synthetic Student 533,9,high,MATH-ALG1,Algebra 1,regular,Y04-SEC-002,Algebra 1 - Synthetic Section 05-02,TCH-001,Teacher 01,Assignment 09,Assignment 10,39.16,49.62,10.46,10.46,48.2524,school_year_growth_from_latent_readiness,updated_assignment_10
1402,SYN-SIS-000541,Synthetic Student 541,9,high,MATH-ALG1,Algebra 1,regular,Y04-SEC-001,Algebra 1 - Synthetic Section 05-01,TCH-001,Teacher 01,Assignment 09,Assignment 10,34.84,41.55,6.709999999999994,6.71,40.9532,school_year_growth_from_latent_readiness,updated_assignment_10
1403,SYN-SIS-000542,Synthetic Student 542,9,normal,MATH-ALG1,Algebra 1,regular,Y04-SEC-002,Algebra 1 - Synthetic Section 05-02,TCH-001,Teacher 01,Assignment 09,Assignment 10,23.72,0.0,,,,absent_no_update,observed_readiness_unchanged_absent
1404,SYN-SIS-000543,Synthetic Student 543,9,normal,MATH-ALG1,Algebra 1,regular,Y04-SEC-001,Algebra 1 - Synthetic Section 05-01,TCH-001,Teacher 01,Assignment 09,Assignment 10,0.0,45.82,,,45.6928,first_present_evidence_from_latent,initialized_assignment_10
1411,SYN-SIS-000550,Synthetic Student 550,9,normal,MATH-ALG1,Algebra 1,regular,Y04-SEC-002,Algebra 1 - Synthetic Section 05-02,TCH-001,Teacher 01,Assignment 09,Assignment 10,37.16,47.07,9.910000000000004,9.91,45.8752,school_year_growth_from_latent_readiness,updated_assignment_10
1413,SYN-SIS-000552,Synthetic Student 552,9,high,MATH-ALG1,Algebra 1,regular,Y04-SEC-001,Algebra 1 - Synthetic Section 05-01,TCH-001,Teacher 01,Assignment 09,Assignment 10,58.98,64.35,5.369999999999997,5.37,62.9052,school_year_growth_from_latent_readiness,updated_assignment_10
1415,SYN-SIS-000554,Synthetic Student 554,9,normal,MATH-ALG1,Algebra 1,regular,Y04-SEC-001,Algebra 1 - Synthetic Section 05-01,TCH-001,Teacher 01,Assignment 09,Assignment 10,34.21,47.35,13.14,13.14,45.783,school_year_growth_from_latent_readiness,updated_assignment_10
1417,SYN-SIS-000556,Synthetic Student 556,9,high,MATH-ALG1,Algebra 1,regular,Y04-SEC-002,Algebra 1 - Synthetic Section 05-02,TCH-001,Teacher 01,Assignment 09,Assignment 10,25.44,30.17,4.73,4.73,30.2916,school_year_growth_from_latent_readiness,updated_assignment_10
1419,SYN-SIS-000558,Synthetic Student 558,9,high,MATH-ALG1,Algebra 1,regular,Y04-SEC-002,Algebra 1 - Synthetic Section 05-02,TCH-001,Teacher 01,Assignment 09,Assignment 10,81.54,81.51,-0.030000000000001137,-0.03,79.9163,school_year_growth_from_latent_readiness,updated_assignment_10
1422,SYN-SIS-000561,Synthetic Student 561,9,high,MATH-ALG1,Algebra 1,regular,Y04-SEC-001,Algebra 1 - Synthetic Section 05-01,TCH-001,Teacher 01,Assignment 09,Assignment 10,59.75,56.91,-2.8400000000000034,-2.84,56.7055,school_year_growth_from_latent_readiness,updated_assignment_10
1426,SYN-SIS-000565,Synthetic Student 565,9,normal,MATH-ALG1,Algebra 1,regular,Y04-SEC-001,Algebra 1 - Synthetic Section 05-01,TCH-001,Teacher 01,Assignment 09,Assignment 10,34.77,30.22,-4.550000000000004,-4.55,31.3735,school_year_growth_from_latent_readiness,updated_assignment_10
1664,SYN-SIS-000575,Synthetic Student 575,9,at_risk,MATH-ALG1,Algebra 1,regular,Y05-SEC-001,Algebra 1 - Synthetic Section 06-01,TCH-001,Teacher 01,Assignment 11,Assignment 12,11.14,20.09,8.95,8.95,20.1823,school_year_growth_from_latent_readiness,updated_assignment_12
1676,SYN-SIS-000587,Synthetic Student 587,9,high,MATH-ALG1,Algebra 1,regular,Y05-SEC-001,Algebra 1 - Synthetic Section 06-01,TCH-001,Teacher 01,Assignment 11,Assignment 12,42.96,45.83,2.8699999999999974,2.87,45.4739,school_year_growth_from_latent_readiness,updated_assignment_12
1680,SYN-SIS-000591,Synthetic Student 591,9,normal,MATH-ALG1,Algebra 1,regular,Y05-SEC-001,Algebra 1 - Synthetic Section 06-01,TCH-001,Teacher 01,Assignment 11,Assignment 12,61.59,60.84,-0.75,-0.75,60.2307,school_year_growth_from_latent_readiness,updated_assignment_12
1681,SYN-SIS-000592,Synthetic Student 592,9,normal,MATH-ALG1,Algebra 1,regular,Y05-SEC-001,Algebra 1 - Synthetic Section 06-01,TCH-001,Teacher 01,Assignment 11,Assignment 12,0.0,19.69,,,23.6174,first_present_evidence_from_latent,initialized_assignment_12
1689,SYN-SIS-000600,Synthetic Student 600,9,normal,MATH-ALG1,Algebra 1,regular,Y05-SEC-001,Algebra 1 - Synthetic Section 06-01,TCH-001,Teacher 01,Assignment 11,Assignment 12,31.46,40.95,9.490000000000002,9.49,40.0697,school_year_growth_from_latent_readiness,updated_assignment_12
1694,SYN-SIS-000605,Synthetic Student 605,9,normal,MATH-ALG1,Algebra 1,regular,Y05-SEC-001,Algebra 1 - Synthetic Section 06-01,TCH-001,Teacher 01,Assignment 11,Assignment 12,77.85,0.0,,,,absent_no_update,observed_readiness_unchanged_absent
1696,SYN-SIS-000607,Synthetic Student 607,9,normal,MATH-ALG1,Algebra 1,regular,Y05-SEC-001,Algebra 1 - Synthetic Section 06-01,TCH-001,Teacher 01,Assignment 11,Assignment 12,64.24,61.26,-2.979999999999997,-2.98,60.8808,school_year_growth_from_latent_readiness,updated_assignment_12
1698,SYN-SIS-000609,Synthetic Student 609,9,high,MATH-ALG1,Algebra 1,regular,Y05-SEC-001,Algebra 1 - Synthetic Section 06-01,TCH-001,Teacher 01,Assignment 11,Assignment 12,89.91,84.75,-5.159999999999997,-5.16,83.5862,school_year_growth_from_latent_readiness,updated_assignment_12
1700,SYN-SIS-000611,Synthetic Student 611,9,normal,MATH-ALG1,Algebra 1,regular,Y05-SEC-001,Algebra 1 - Synthetic Section 06-01,TCH-001,Teacher 01,Assignment 11,Assignment 12,20.9,25.1,4.200000000000003,4.2,25.5025,school_year_growth_from_latent_readiness,updated_assignment_12
1701,SYN-SIS-000612,Synthetic Student 612,9,high,MATH-ALG1,Algebra 1,regular,Y05-SEC-001,Algebra 1 - Synthetic Section 06-01,TCH-001,Teacher 01,Assignment 11,Assignment 12,18.66,30.23,11.57,11.57,29.5868,school_year_growth_from_latent_readiness,updated_assignment_12
